Gap = 4
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
8.0	0.5156	0.5156	9.9	0.2372
8.2	0.5156	0.5156	10.1	0.2743
8.4	0.5156	0.5156	10.4	0.3098
8.6	0.5156	0.5156	10.6	0.3434
8.8	0.5156	0.5156	10.8	0.3748
9.0	0.5156	0.5156	11.1	0.4037
9.2	0.5156	0.5156	11.3	0.4297
9.3	0.5156	0.5156	11.5	0.4525
9.5	0.5156	0.5156	11.8	0.4718
9.7	0.5156	0.5156	12.0	0.4875
9.9	0.5156	0.5156	12.2	0.4991
10.1	0.5156	0.5156	12.4	0.5066
10.3	0.5156	0.5156	12.7	0.5099
10.5	0.5156	0.5156	12.9	0.5090
10.7	0.5156	0.5156	13.1	0.5037
10.8	0.5156	0.5156	13.4	0.4943
11.0	0.5156	0.5156	13.6	0.4808
11.2	0.5156	0.5156	13.8	0.4635
11.4	0.5156	0.5156	14.1	0.4425
11.6	0.5156	0.5156	14.3	0.4181
11.8	0.5156	0.5156	14.5	0.3907
12.0	0.5156	0.5156	14.8	0.3605
12.2	0.5156	0.5156	15.0	0.3280
12.4	0.5155	0.5155	15.2	0.2933
12.5	0.5155	0.5155	15.5	0.2569
12.7	0.5155	0.5155	15.7	0.2191
12.9	0.5155	0.5155	15.9	0.1801
13.1	0.5155	0.5155	16.2	0.1402
13.3	0.5155	0.5155	16.4	0.0995
13.5	0.5155	0.5155	16.6	0.0584
13.7	0.5155	0.5155	16.9	0.0170
13.9	0.5155	0.5155	17.1	-0.0245
14.1	0.5155	0.5155	17.3	-0.0659
14.2	0.5155	0.5155	17.6	-0.1071
14.4	0.5155	0.5155	17.8	-0.1479
14.6	0.5155	0.5155	18.0	-0.1880
14.8	0.5155	0.5155	18.3	-0.2272
15.0	0.5155	0.5155	18.5	-0.2653
Gap = 10
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
-15.0	0.3470	0.3470	-18.5	0.1852
-14.8	0.3470	0.3470	-18.3	0.1593
-14.6	0.3470	0.3470	-18.0	0.1324
-14.4	0.3470	0.3470	-17.8	0.1048
-14.2	0.3470	0.3470	-17.6	0.0765
-14.1	0.3471	0.3471	-17.3	0.0479
-13.9	0.3471	0.3471	-17.1	0.0190
-13.7	0.3471	0.3471	-16.9	-0.0100
-13.5	0.3471	0.3471	-16.6	-0.0389
-13.3	0.3471	0.3471	-16.4	-0.0675
-13.1	0.3471	0.3471	-16.2	-0.0956
-12.9	0.3471	0.3471	-15.9	-0.1232
-12.7	0.3471	0.3471	-15.7	-0.1499
-12.5	0.3471	0.3471	-15.5	-0.1756
-12.4	0.3471	0.3471	-15.2	-0.2001
-12.2	0.3471	0.3471	-15.0	-0.2233
-12.0	0.3471	0.3471	-14.8	-0.2448
-11.8	0.3471	0.3471	-14.5	-0.2647
-11.6	0.3471	0.3471	-14.3	-0.2826
-11.4	0.3472	0.3472	-14.1	-0.2984
-11.2	0.3472	0.3472	-13.8	-0.3119
-11.0	0.3472	0.3472	-13.6	-0.3230
-10.8	0.3472	0.3472	-13.4	-0.3316
-10.7	0.3472	0.3472	-13.1	-0.3377
-10.5	0.3472	0.3472	-12.9	-0.3410
-10.3	0.3472	0.3472	-12.7	-0.3417
-10.1	0.3472	0.3472	-12.4	-0.3396
-9.9	0.3472	0.3472	-12.2	-0.3349
-9.7	0.3472	0.3472	-12.0	-0.3275
-9.5	0.3472	0.3472	-11.8	-0.3176
-9.3	0.3472	0.3472	-11.5	-0.3052
-9.2	0.3472	0.3472	-11.3	-0.2905
-9.0	0.3472	0.3472	-11.1	-0.2736
-8.8	0.3472	0.3472	-10.8	-0.2548
-8.6	0.3472	0.3472	-10.6	-0.2341
-8.4	0.3472	0.3472	-10.4	-0.2118
-8.2	0.3472	0.3472	-10.1	-0.1880
-8.0	0.3472	0.3472	-9.9	-0.1630
-7.8	0.3472	0.3472	-9.7	-0.1369
-7.6	0.3472	0.3472	-9.4	-0.1099
-7.5	0.3472	0.3472	-9.2	-0.0822
-7.3	0.3472	0.3472	-9.0	-0.0540
-7.1	0.3472	0.3472	-8.7	-0.0254
-6.9	0.3472	0.3472	-8.5	0.0033
-6.7	0.3472	0.3472	-8.3	0.0320
-6.5	0.3472	0.3472	-8.0	0.0605
-6.3	0.3472	0.3472	-7.8	0.0887
-6.1	0.3472	0.3472	-7.6	0.1164
-5.9	0.3472	0.3472	-7.3	0.1434
-5.8	0.3472	0.3472	-7.1	0.1694
-5.6	0.3472	0.3472	-6.9	0.1944
-5.4	0.3472	0.3472	-6.6	0.2182
-5.2	0.3472	0.3472	-6.4	0.2404
-5.0	0.3472	0.3472	-6.2	0.2611
-4.8	0.3472	0.3472	-5.9	0.2798
-4.6	0.3472	0.3472	-5.7	0.2966
-4.4	0.3472	0.3472	-5.5	0.3112
-4.2	0.3472	0.3472	-5.2	0.3235
-4.1	0.3472	0.3472	-5.0	0.3333
-3.9	0.3472	0.3472	-4.8	0.3406
-3.7	0.3472	0.3472	-4.5	0.3452
-3.5	0.3472	0.3472	-4.3	0.3471
-3.3	0.3472	0.3472	-4.1	0.3464
-3.1	0.3472	0.3472	-3.8	0.3429
-2.9	0.3472	0.3472	-3.6	0.3368
-2.7	0.3472	0.3472	-3.4	0.3280
-2.5	0.3472	0.3472	-3.1	0.3168
-2.4	0.3472	0.3472	-2.9	0.3031
-2.2	0.3472	0.3472	-2.7	0.2872
-2.0	0.3472	0.3472	-2.4	0.2693
-1.8	0.3472	0.3472	-2.2	0.2493
-1.6	0.3472	0.3472	-2.0	0.2277
-1.4	0.3472	0.3472	-1.7	0.2045
