X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
-6	4	-1722	1.8375e-09	1.10647e-06	7.06345e-08
0	4	-1722	-4.51066e-16	1.10784e-06	7.07452e-08
6	4	-1722	-1.8375e-09	1.10647e-06	7.06345e-08
-6	-4	-1719	-1.95191e-09	1.16081e-06	-7.45204e-08
0	-4	-1719	-4.80199e-15	1.16227e-06	-7.46389e-08
6	-4	-1719	1.95192e-09	1.16081e-06	-7.45204e-08
-6	0	-1719	8.82955e-21	1.16283e-06	-6.69226e-15
0	0	-1719	2.02982e-15	1.16429e-06	-8.44808e-15
6	0	-1719	-2.33991e-15	1.16283e-06	-2.68699e-15
-6	4	-1719	1.95192e-09	1.16081e-06	7.45204e-08
0	4	-1719	-1.59752e-15	1.16227e-06	7.46389e-08
6	4	-1719	-1.95192e-09	1.16081e-06	7.45204e-08
-6	-4	-1716	-2.07443e-09	1.21814e-06	-7.86508e-08
0	-4	-1716	3.94691e-16	1.2197e-06	-7.87776e-08
6	-4	-1716	2.07442e-09	1.21814e-06	-7.86508e-08
-6	0	-1716	3.20447e-15	1.22029e-06	-7.28314e-15
0	0	-1716	-2.17075e-15	1.22185e-06	-3.30994e-15
6	0	-1716	-6.56867e-15	1.22029e-06	-3.7593e-15
-6	4	-1716	2.07443e-09	1.21814e-06	7.86507e-08
0	4	-1716	-3.34542e-15	1.2197e-06	7.87776e-08
6	4	-1716	-2.07442e-09	1.21814e-06	7.86507e-08
-6	-4	-1713	-2.20566e-09	1.27867e-06	-8.3043e-08
0	-4	-1713	3.86226e-15	1.28032e-06	-8.3179e-08
6	-4	-1713	2.20566e-09	1.27867e-06	-8.3043e-08
-6	0	-1713	-1.10887e-15	1.28096e-06	-8.96524e-15
0	0	-1713	-1.63512e-15	1.28261e-06	-1.1336e-14
6	0	-1713	-3.66493e-15	1.28096e-06	-6.53344e-15
-6	4	-1713	2.20566e-09	1.27867e-06	8.3043e-08
0	4	-1713	-1.55054e-15	1.28032e-06	8.31789e-08
6	4	-1713	-2.20566e-09	1.27867e-06	8.3043e-08
-6	-4	-1710	-2.34632e-09	1.34259e-06	-8.7716e-08
0	-4	-1710	-4.88656e-15	1.34435e-06	-8.78618e-08
6	-4	-1710	2.34631e-09	1.34259e-06	-8.7716e-08
-6	0	-1710	-1.96401e-15	1.34502e-06	-8.55731e-15
0	0	-1710	-4.29454e-15	1.34679e-06	-9.97345e-15
6	0	-1710	1.98283e-15	1.34502e-06	-9.2866e-15
-6	4	-1710	2.34632e-09	1.34259e-06	8.7716e-08
0	4	-1710	-2.81922e-17	1.34435e-06	8.78618e-08
6	4	-1710	-2.34633e-09	1.34259e-06	8.7716e-08
-6	-4	-1707	-2.49718e-09	1.41012e-06	-9.26902e-08
0	-4	-1707	-1.81368e-15	1.41199e-06	-9.28466e-08
6	-4	-1707	2.49717e-09	1.41012e-06	-9.26903e-08
-6	0	-1707	5.16856e-16	1.41271e-06	-8.94518e-15
0	0	-1707	1.19345e-15	1.41458e-06	-7.3561e-15
6	0	-1707	3.90924e-15	1.41271e-06	-6.63806e-15
-6	4	-1707	2.49717e-09	1.41012e-06	9.26902e-08
0	4	-1707	-1.08068e-15	1.41199e-06	9.28466e-08
6	4	-1707	-2.49718e-09	1.41012e-06	9.26902e-08
-6	-4	-1704	-2.65905e-09	1.48149e-06	-9.79877e-08
0	-4	-1704	-7.42393e-16	1.48348e-06	-9.81555e-08
6	-4	-1704	2.65904e-09	1.48149e-06	-9.79877e-08
-6	0	-1704	-2.95073e-15	1.48425e-06	-9.11077e-15
0	0	-1704	3.99383e-15	1.48625e-06	-1.03751e-14
6	0	-1704	1.15586e-15	1.48425e-06	-1.19885e-14
-6	4	-1704	2.65904e-09	1.48149e-06	9.79877e-08
0	4	-1704	-2.32112e-15	1.48348e-06	9.81555e-08
6	4	-1704	-2.65905e-09	1.48149e-06	9.79877e-08
-6	-4	-1701	-2.83284e-09	1.55695e-06	-1.03632e-07
0	-4	-1701	1.58814e-15	1.55907e-06	-1.03813e-07
6	-4	-1701	2.83283e-09	1.55695e-06	-1.03632e-07
-6	0	-1701	2.60304e-15	1.55989e-06	-8.37522e-15
0	0	-1701	1.05249e-15	1.56202e-06	-5.09371e-15
6	0	-1701	-8.20379e-15	1.55989e-06	-9.28231e-15
-6	4	-1701	2.83283e-09	1.55695e-06	1.03632e-07
0	4	-1701	-1.78545e-16	1.55907e-06	1.03813e-07
6	4	-1701	-2.83284e-09	1.55695e-06	1.03632e-07
